bc_plan_len,method,num_task_ratio,success_mean,success_std,progress_mean,progress_std,bc_plan_length_mean,bc_plan_length_std,bc_plan_time_mean,bc_plan_time_std
bc_plan_len=1,gt,0.3775,0.8719646799116998,0.3344985397367447,0.8719646799116998,0.3344985397367447,1.0,0.0,4.538426599228101e-05,3.367891622243529e-05
bc_plan_len=1,vorm,0.44333333333333336,0.7462406015037594,0.4355711042103111,0.75,0.433420243348915,1.0,0.0,3.212376644736842e-05,1.2772152916110132e-05
bc_plan_len=1,fcl,0.395,0.7784810126582279,0.4157077215865857,0.7784810126582279,0.4157077215865857,1.0,0.0,6.728182362101454e-05,2.2504013693813848e-05
bc_plan_len=1,grn,0.9333333333333333,0.3482142857142857,0.4766171648912948,0.3491071428571428,0.4769008409540107,1.0,0.0,2.9423194272177426e-05,1.1787776490146254e-05
bc_plan_len>1,gt,0.6191666666666666,0.3781965006729475,0.4852636809422755,0.5768666282125232,0.3888386311119798,2.497981157469717,0.7871499750380687,8.83377737504628e-05,6.441666377544657e-05
bc_plan_len>1,vorm,0.4375,0.3771428571428571,0.4851334008041403,0.5981269841269841,0.3688881133394961,2.335238095238095,0.6100276793214794,5.9616452171685165e-05,2.5040629085227576e-05
bc_plan_len>1,fcl,0.385,0.2878787878787879,0.4532651396193945,0.5428932178932179,0.3611771062041081,2.4372294372294374,0.744727896092484,0.0001196102662519,4.076927341402301e-05
bc_plan_len>1,grn,0.04,0.2083333333333333,0.4104140790860576,0.4253472222222221,0.3810057237170095,2.2291666666666665,0.5550381751614251,5.010763804117838e-05,1.1396789414222397e-05
bc_plan_len>=1,gt,0.9966666666666667,0.5652173913043478,0.4959358200802922,0.6886387163561076,0.3958655644089108,1.9306020066889635,0.95560008378498,7.206859397248926e-05,5.8651839000892623e-05
bc_plan_len>=1,vorm,0.8808333333333334,0.5629139072847682,0.496260853218432,0.6745663828445285,0.4095797350676373,1.663197729422895,0.7942134424171198,4.577907392633369e-05,2.413092189877245e-05
bc_plan_len>=1,fcl,0.78,0.5363247863247863,0.4989453661055918,0.6621972934472934,0.4069748734323327,1.709401709401709,0.8890042888663379,9.311060620167532e-05,4.196298609027163e-05
bc_plan_len>=1,grn,0.9733333333333334,0.3424657534246575,0.4747377381160554,0.3522402968036529,0.4734505831955422,1.0505136986301369,0.268321278126572,3.027323990651993e-05,1.246363180840016e-05
bc_plan_len>=0,gt,1.0,0.5633333333333334,0.4961794540261823,0.6886387163561076,0.3958655644089108,1.9241666666666664,0.9604780427549612,7.18283653259143e-05,5.870120512250565e-05
bc_plan_len>=0,vorm,1.0,0.4958333333333333,0.5001910949811791,0.6745663828445285,0.4095797350676373,1.465,0.9198623750272784,4.321316878000725e-05,2.4724242689249514e-05
bc_plan_len>=0,fcl,1.0,0.4183333333333333,0.4934911348129819,0.6621972934472935,0.4069748734323328,1.3333333333333333,1.057428019884373,8.308708667753619e-05,4.481813285285625e-05
bc_plan_len>=0,grn,1.0,0.3333333333333333,0.4716010621882686,0.3522402968036529,0.4734505831955422,1.0225,0.314233515481523,2.974530061086006e-05,1.2740753740079794e-05
